"TableName","Name","DataType","LogicalAddress","ExternalVisible"
"Alarm","ABP爆破片2反馈报警","Bool","%M20.7","true"
"Alarm","ASN室内排水开反馈报警","Bool","%M34.1","true"
"Alarm","ASN室内排水关反馈报警","Bool","%M34.0","true"
"Alarm","ADJ电加热报警","Bool","%M23.5","true"
"Alarm","AWH雾化油压低报","Bool","%M37.3","true"
"Alarm","AWH雾化油压低低报","Bool","%M37.2","true"
"Alarm","AJD进氮压力低低报","Bool","%M27.2","true"
"Alarm","AFD阀导气压低报","Bool","%M25.3","true"
"Alarm","AFD阀导气压低低报","Bool","%M25.2","true"
"Alarm","AJF进风压差低报","Bool","%M28.4","true"
"Alarm","ACF出风高效高报","Bool","%M22.6","true"
"Alarm","ACF出风高效高高报","Bool","%M22.7","true"
"Alarm","ACF出风高效低报","Bool","%M22.5","true"
"Alarm","ASS输送高效高报","Bool","%M35.7","true"
"Alarm","ASS输送高效高高报","Bool","%M36.0","true"
"Alarm","ASF输送高效低报","Bool","%M33.6","true"
"Alarm","AHF回风温度高报","Bool","%M26.5","true"
"Alarm","AHF回风温度高高报","Bool","%M26.6","true"
"Alarm","AJF进风冷却水流量低报警","Bool","%M28.0","true"
"Alarm","ALD冷冻水流量低报警","Bool","%M31.5","true"
"Alarm","ALQ冷却水流量低报警","Bool","%M31.6","true"
"Alarm","ABD布袋压差低报","Bool","%M20.0","true"
"Alarm","AJF进风流量计故障","Bool","%M29.2","true"
"Alarm","AJL进料流量故障","Bool","%M30.4","true"
"Alarm","AJF进风压差变送器故障","Bool","%M28.5","true"
"Alarm","ACF出风压差变送器故障","Bool","%M22.0","true"
"Alarm","ABD布袋压差变送器故障","Bool","%M20.1","true"
"Alarm","ASS输送高效压差变送器故障","Bool","%M35.6","true"
"Alarm","AJL进料压力故障","Bool","%M29.6","true"
"Alarm","ATN塔内压力故障","Bool","%M36.5","true"
"Alarm","AGD管道压力变送器故障","Bool","%M26.0","true"
"Alarm","AJD进氮压力故障","Bool","%M27.4","true"
"Alarm","AFK放空比例反馈故障","Bool","%M25.7","true"
"Alarm","AJF进风加热比例反馈故障","Bool","%M28.3","true"
"Alarm","AHF回风加热比例反馈故障","Bool","%M26.3","true"
"Alarm","AWH雾化油压故障","Bool","%M37.4","true"
"Alarm","AYH氧含仪1故障","Bool","%M38.6","true"
"Alarm","AYH氧含仪2故障","Bool","%M38.7","true"
"Alarm","AYJ一级溶剂液位计故障","Bool","%M40.5","true"
"Alarm","AEJ二级溶剂液位计故障","Bool","%M25.1","true"
"Alarm","ACW除雾溶剂液位计故障","Bool","%M23.4","true"
"Alarm","AFD阀岛气压故障报警","Bool","%M25.6","true"
"Alarm","AJL进料压力高报","Bool","%M29.7","true"
"Alarm","AJL进料压力高高报","Bool","%M30.0","true"
"Alarm","ASS输送温度高高报","Bool","%M35.2","true"
"Alarm","ASS输送温度高报","Bool","%M35.1","true"
"Alarm","ASS输送温度故障报警","Bool","%M35.0","true"
"Alarm","AHF回风温度故障报警","Bool","%M26.4","true"
"Alarm","ASS输送高效低报","Bool","%M35.5","true"
"Alarm","AYJ一级液位计高报","Bool","%M40.3","true"
"Alarm","AYJ一级液位计高高报","Bool","%M40.4","true"
"Alarm","AEJ二级液位计高报","Bool","%M24.7","true"
"Alarm","AEJ二级液位计高高报","Bool","%M25.0","true"
"Alarm","ACW除雾液位计高报","Bool","%M23.2","true"
"Alarm","ACW除雾液位计高高报","Bool","%M23.3","true"
"Alarm","AFD阀岛气压低报","Bool","%M25.5","true"
"Alarm","AFD阀岛气压低低报","Bool","%M25.4","true"
"Alarm","APY排液流量低报警","Bool","%M32.0","true"
"Alarm","ASF输送风机故障报警","Bool","%M33.5","true"
